,Unnamed: 0,event,cosmo,url,filename,catalog
87,87,GW190828_063405,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
88,88,GW190828_065509,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
89,89,GW190828_065509,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
90,90,GW190910_112807,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
91,91,GW190910_112807,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
92,92,GW190915_235702,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
93,93,GW190915_235702,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
94,94,GW190916_200658,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
95,95,GW190916_200658,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
96,96,GW190917_114630,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
97,97,GW190917_114630,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
98,98,GW190924_021846,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
99,99,GW190924_021846,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
100,100,GW190925_232845,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
101,101,GW190925_232845,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
102,102,GW190926_050336,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
103,103,GW190926_050336,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
