,event,catalog,url,filename,cosmo
165,GW200220_061928,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200220_061928_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,False
167,GW200220_124850,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200220_124850_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200220_124850_PEDataRelease_mixed_cosmo.h5,True
169,GW200220_124850,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200220_124850_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,False
171,GW200224_222234,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200224_222234_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200224_222234_PEDataRelease_mixed_cosmo.h5,True
173,GW200224_222234,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200224_222234_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,False
175,GW200225_060421,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200225_060421_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200225_060421_PEDataRelease_mixed_cosmo.h5,True
177,GW200225_060421,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200225_060421_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,False
179,GW200302_015811,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200302_015811_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200302_015811_PEDataRelease_mixed_cosmo.h5,True
181,GW200302_015811,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200302_015811_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,False
183,GW200306_093714,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200306_093714_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200306_093714_PEDataRelease_mixed_cosmo.h5,True
185,GW200306_093714,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200306_093714_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,False
187,GW200308_173609,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200308_173609_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200308_173609_PEDataRelease_mixed_cosmo.h5,True
189,GW200308_173609,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200308_173609_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,False
191,GW200311_115853,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200311_115853_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200311_115853_PEDataRelease_mixed_cosmo.h5,True
193,GW200311_115853,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200311_115853_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,False
195,GW200316_215756,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200316_215756_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200316_215756_PEDataRelease_mixed_cosmo.h5,True
197,GW200316_215756,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200316_215756_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,False
199,GW200322_091133,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200322_091133_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200322_091133_PEDataRelease_mixed_cosmo.h5,True
201,GW200322_091133,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW200322_091133_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,False
